article_title	PMID	sentence	short_form	long_form
First Assessment of Acquired HIV-1 Drug Resistance and Mutation Patterns in Suriname.	33287618	The aim of this study was to address this gap, to gain insight in acquired HIV drug resistance (ADR) prevalence and mutation patterns and to improve HIV-1 treatment outcome of people living with HIV (PLHIV) in Suriname.	PLHIV	people living with HIV
Health Care Transition in School-Based Health Centers: A Pilot Study.	33287619	Nationally, there are low rates of high school-age youth receiving health care transition (HCT) preparation from health care providers.	HCT	health care transition
Health Care Transition in School-Based Health Centers: A Pilot Study.	33287619	This pilot study implemented and assessed the use of a structured HCT process, the Six Core Elements of HCT, in two school-based health centers (SBHCs) in Washington, DC.	SBHCs	school-based health centers
Degradation of Phosalone By Silver Ion Catalytic Hydrolysis.	33287621	Organophosphorus (OP) pesticides, as a group, are widely used because they are rapidly degraded in the environment and because they have excellent efficacy and an acceptable price point.	OP	Organophosphorus
Beijing as the hub of CRF07_BC transmission from the intravenous drug users to men who have sex with men in China.	33287623	The HIV-1 CRF07_BC strain has been increasing in frequency in China, is now the major recombination subtype in the men who have sex with men (MSM) population.	MSM	men who have sex with men
Lactose hydrolysis using β-galactosidase from Kluyveromyces lactis immobilized with sodium alginate for potential industrial applications.	33287624	"The present study aimed to evaluate the lactose hydrolysis conditions from ""coalho"" cheese whey using β-galactosidase (β-gal) produced by Kluyveromyces lactis immobilized with sodium alginate."	β-gal	β-galactosidase
Lactose hydrolysis using β-galactosidase from Kluyveromyces lactis immobilized with sodium alginate for potential industrial applications.	33287624	Three sodium alginate-based immobilization systems were evaluated (0.5, 0.7, and 1% w/v) for maximizing the immobilization yield (Y), efficiency (EM), and recovered activity (ar).	ar	and recovered activity
Risk Factor Burden and Long-Term Prognosis of Patients With Premature Coronary Artery Disease.	33287625	Background Coronary artery disease (CAD) is increasing among young adults.	CAD	Coronary artery disease
Risk Factor Burden and Long-Term Prognosis of Patients With Premature Coronary Artery Disease.	33287625	Major adverse cardiovascular events (MACEs), defined as the composite of death, myocardial infarction, stroke, or revascularization, were ascertained for up to 10 years.	MACEs	Major adverse cardiovascular events
Risk Factors for Polyvascular Involvement in Patients With Peripheral Artery Disease: A Mendelian Randomization Study.	33287626	Background Atherosclerosis in >1 vascular bed (ie, polyvascular disease), often a feature of peripheral artery disease (PAD), is associated with high morbidity and mortality.	PAD	peripheral artery disease
Risk Factors for Polyvascular Involvement in Patients With Peripheral Artery Disease: A Mendelian Randomization Study.	33287626	Genetically predicted levels of the lipid content and/or particle measures of very small and small size very low-density lipoprotein, intermediate-density lipoprotein, and large low-density lipoprotein were associated with polyvascular disease: odds ratios (OR) of 1.80 (95% CI, 1.23-2.61), 1.70 (95% CI, 1.17-2.61), and 1.40 (95% CI, 1.09-1.80) per 1 SD increase in genetically determined levels, respectively.	OR	odds ratios
Assessable learning outcomes for the EU Education and Training Framework core and Function A specific modules: Report of an ETPLAS WORKING Group.	33287628	An Education & Training Platform for Laboratory Animal Science (ETPLAS)	ETPLAS	Education & Training Platform for Laboratory Animal Science
Mesenchymal Stromal Cells in Neuroblastoma: exploring crosstalk and therapeutic implications.	33287630	Neuroblastoma (NB) is the second most common solid cancer in childhood, accounting for 15% of cancer-related deaths in children.	NB	Neuroblastoma
Mesenchymal Stromal Cells in Neuroblastoma: exploring crosstalk and therapeutic implications.	33287630	The bone marrow (BM) is among the most common sites of distant metastasis in patients with high-risk NB.	BM	bone marrow
Mesenchymal Stromal Cells in Neuroblastoma: exploring crosstalk and therapeutic implications.	33287630	In BM, mesenchymal stromal cells (MSCs) constitute an important part of the microenvironment, where they support hematopoiesis and modulate immune responses.	MSCs	mesenchymal stromal cells
Mesenchymal Stromal Cells in Neuroblastoma: exploring crosstalk and therapeutic implications.	33287630	While on the one hand MSCs have been found to promote epithelial-mesenchymal transition (EMT), tumor growth and metastasis and to induce chemoresistance, some reports point towards a tumor-suppressive effect of MSCs.	EMT	epithelial-mesenchymal transition
Genetic characteristics of three unique recombinant forms of HIV-1 in Yunnan, China.	33287633	To explore the molecular epidemiological status of human immunodeficiency virus type 1 (HIV-1) in Yunnan, China, three HIV-1 near-full-length genomes were amplified and sequenced from plasma samples that were collected from Burmese patients newly diagnosed with HIV-1 in Dehong Prefecture in Yunnan Province in 2017.	HIV-1	human immunodeficiency virus type 1
Improved hand prostheses control for transradial amputees based on hybrid of voice recognition and electromyography.	33287634	The main challenges include the difficulty of extracting signals for controlling the prostheses, limited number of degrees of freedom (DoF), and cost-prohibitive for complex controlling systems.	DoF	degrees of freedom
Improved hand prostheses control for transradial amputees based on hybrid of voice recognition and electromyography.	33287634	In this study, a real-time hybrid control system, based on electromyography (EMG) and voice commands (VC) is designed to render the prosthesis more dexterous with the ability to accomplish amputee's daily activities proficiently.	EMG	electromyography
Improved hand prostheses control for transradial amputees based on hybrid of voice recognition and electromyography.	33287634	In this study, a real-time hybrid control system, based on electromyography (EMG) and voice commands (VC) is designed to render the prosthesis more dexterous with the ability to accomplish amputee's daily activities proficiently.	VC	voice commands
Characterization of HIV-1 Envelope V3 Region Sequences from Virologically Controlled HIV-Infected Older Patients on Long Term Antiretroviral Therapy.	33287636	While many HIV-infected patients have attained older age due to the success of antiretroviral therapy (ART) in controlling viremia and increasing CD4 T-cell counts, HIV continues to persist in several target cells.	ART	antiretroviral therapy
Characterization of HIV-1 Envelope V3 Region Sequences from Virologically Controlled HIV-Infected Older Patients on Long Term Antiretroviral Therapy.	33287636	Analysis of the several cytotoxic T-lymphocytes (CTL) epitopes showed variation, whereas some of known neutralizing antibodies (nAb) epitopes showed conservation in patients' V3 region sequences.	CTL	cytotoxic T-lymphocytes
Characterization of HIV-1 Envelope V3 Region Sequences from Virologically Controlled HIV-Infected Older Patients on Long Term Antiretroviral Therapy.	33287636	Analysis of the several cytotoxic T-lymphocytes (CTL) epitopes showed variation, whereas some of known neutralizing antibodies (nAb) epitopes showed conservation in patients' V3 region sequences.	nAb	neutralizing antibodies
Design and Assessment of Novel Anti-CD30 CARs with Human Antigen-recognition Domains.	33287637	CD30 is a cell-surface protein expressed on Hodgkin lymphoma (HL), some T-cell lymphomas, and some B-cell lymphomas.	HL	Hodgkin lymphoma
Design and Assessment of Novel Anti-CD30 CARs with Human Antigen-recognition Domains.	33287637	We established tumors in nod-scid common gamma-chain (NSG) mice and treated the tumors with T cells expressing different CARs.	NSG	nod-scid common gamma-chain
Analysis of single nucleotide polymorphisms related to heifer fertility in Hanwoo (Korean cattle).	33287639	Genome-wide association studies (GWAS) have accelerated the identification of functional trait loci in cattle and identified single nucleotide polymorphisms (SNPs) in candidate genes associated with fertility and production traits in high milk yield dairy cattle.	GWAS	Genome-wide association studies
Analysis of single nucleotide polymorphisms related to heifer fertility in Hanwoo (Korean cattle).	33287639	Genome-wide association studies (GWAS) have accelerated the identification of functional trait loci in cattle and identified single nucleotide polymorphisms (SNPs) in candidate genes associated with fertility and production traits in high milk yield dairy cattle.	SNPs	single nucleotide polymorphisms
Analysis of single nucleotide polymorphisms related to heifer fertility in Hanwoo (Korean cattle).	33287639	We performed a genome-wide association study of 40 Korean native beef cattle heifers with imputed 770 K genotype and identified 12 significant SNPs within seven regions on three chromosomes (BTA 8, BTA 16 and BTA 24) associated with services per conception (SPC).	SPC	services per conception
Interobserver Reproducibility in Sonographic Measurement of Diameter and Volume of Papillary Thyroid Microcarinoma.	33287640	Active surveillance is recommended as an alternative to immediate surgery for low-risk papillary thyroid microcarcinoma (PTMC), and determining meaningful changes in diameter and volume on ultrasonography (US) is critical.	PTMC	papillary thyroid microcarcinoma
Interobserver Reproducibility in Sonographic Measurement of Diameter and Volume of Papillary Thyroid Microcarinoma.	33287640	Active surveillance is recommended as an alternative to immediate surgery for low-risk papillary thyroid microcarcinoma (PTMC), and determining meaningful changes in diameter and volume on ultrasonography (US) is critical.	US	ultrasonography
The Experience of Working With a Faith Community Nurse Liaison of Care in a Primary Care Practice Among Older Adult Clients and Their Informal Caregiver.	33287641	This descriptive qualitative study explored the experience of working with a faith community nurse (FCN) liaison of care in a Catholic health care system affiliated primary care practice among older adult clients and their informal caregiver.	FCN	faith community nurse
Associations of Observational and Genetically Determined Caffeine Intake With Coronary Artery Disease and Diabetes Mellitus.	33287642	Background Caffeine is the most widely consumed psychostimulant and is associated with lower risk of coronary artery disease (CAD) and type 2 diabetes mellitus (T2DM).	CAD	coronary artery disease
Associations of Observational and Genetically Determined Caffeine Intake With Coronary Artery Disease and Diabetes Mellitus.	33287642	Background Caffeine is the most widely consumed psychostimulant and is associated with lower risk of coronary artery disease (CAD) and type 2 diabetes mellitus (T2DM).	T2DM	type 2 diabetes mellitus
Absorption, distribution, metabolism, and excretion of three [14C]PBDE congeners in laying hens and transfer to eggs.	33287643	Polybrominated diphenyl ethers (PBDEs) levels in environmental matrices have generally declined following their phaseout as flame retardants.	PBDEs	Polybrominated diphenyl ethers
In vitro performance of 3D printed PCL-β-TCP degradable spinal fusion cage.	33287645	The purpose of this study was to fabricate a degradable spinal fusion cage from both polycaprolactone (PCL) and high-proportion beta-tricalcium phosphate (β-TCP), using the highly personalised, accurate, and rapid fused deposition modelling 3 D printing technology.	PCL	polycaprolactone
Citric acid coated ultrasmall superparamagnetic iron oxide nanoparticles conjugated with lactoferrin for targeted negative MR imaging of glioma.	33287646	The proposed study was to develop the preparation of ultrasmall superparamagnetic iron oxide nanoparticles (USPIONs) modified with citric acid, with surface conjugated with lactoferrin (Lf), which used as a potential targeted contrast agent for magnetic resonance imaging (MRI) of brain glioma.	USPIONs	ultrasmall superparamagnetic iron oxide nanoparticles
Citric acid coated ultrasmall superparamagnetic iron oxide nanoparticles conjugated with lactoferrin for targeted negative MR imaging of glioma.	33287646	The proposed study was to develop the preparation of ultrasmall superparamagnetic iron oxide nanoparticles (USPIONs) modified with citric acid, with surface conjugated with lactoferrin (Lf), which used as a potential targeted contrast agent for magnetic resonance imaging (MRI) of brain glioma.	Lf	lactoferrin
Citric acid coated ultrasmall superparamagnetic iron oxide nanoparticles conjugated with lactoferrin for targeted negative MR imaging of glioma.	33287646	The proposed study was to develop the preparation of ultrasmall superparamagnetic iron oxide nanoparticles (USPIONs) modified with citric acid, with surface conjugated with lactoferrin (Lf), which used as a potential targeted contrast agent for magnetic resonance imaging (MRI) of brain glioma.	MRI	magnetic resonance imaging
Citric acid coated ultrasmall superparamagnetic iron oxide nanoparticles conjugated with lactoferrin for targeted negative MR imaging of glioma.	33287646	The obtained Lf-USPIONs were analyzed by fourier transform infrared (FTIR) spectroscopy and polyacrylamide gel electrophoresis.	FTIR	fourier transform infrared
Citric acid coated ultrasmall superparamagnetic iron oxide nanoparticles conjugated with lactoferrin for targeted negative MR imaging of glioma.	33287646	The size, size distribution, shape and superparamagnetic property of Lf-USPIONs were investigated with TEM and vibrating sample magnetometer (VSM).	VSM	vibrating sample magnetometer
Co-occurrence of mycotoxins, aflatoxin biosynthetic precursors, and Aspergillus metabolites in garlic (Allium sativum L) marketed in Zaria, Nigeria.	33287649	The results indicated the presence of seven major mycotoxins, including aflatoxin B1 (AFB1), ochratoxin A (OTA), and the fumonisins B1, B2, B3, B4, and B6, at different levels of contamination.	AFB1	aflatoxin B1
Co-occurrence of mycotoxins, aflatoxin biosynthetic precursors, and Aspergillus metabolites in garlic (Allium sativum L) marketed in Zaria, Nigeria.	33287649	The results indicated the presence of seven major mycotoxins, including aflatoxin B1 (AFB1), ochratoxin A (OTA), and the fumonisins B1, B2, B3, B4, and B6, at different levels of contamination.	OTA	ochratoxin A
Co-occurrence of mycotoxins, aflatoxin biosynthetic precursors, and Aspergillus metabolites in garlic (Allium sativum L) marketed in Zaria, Nigeria.	33287649	Sterigmatocystin (STC), an AFB1 biosynthetic precursor, was present in all tested samples.	STC	Sterigmatocystin
Assessment of Pain and Analgesic Use in Children Following Otologic Surgery.	33287651	To compare postoperative pain and analgesic use in children following transcanal endoscopic ear surgery (TEES) vs non-transcanal endoscopic ear surgery (non-TEES).	TEES	transcanal endoscopic ear surgery
Assessment of Pain and Analgesic Use in Children Following Otologic Surgery.	33287651	To compare postoperative pain and analgesic use in children following transcanal endoscopic ear surgery (TEES) vs non-transcanal endoscopic ear surgery (non-TEES).	non-TEES	non-transcanal endoscopic ear surgery
CTNNB1 Knockdown Inhibits Cell Proliferation and Aldosterone Secretion Through Inhibiting Wnt/β-Catenin Signaling in H295R Cells.	33287648	Aldosterone-producing adenomas (APA) is one of the causative factors of primary aldosteronism.	APA	Aldosterone-producing adenomas
CTNNB1 Knockdown Inhibits Cell Proliferation and Aldosterone Secretion Through Inhibiting Wnt/β-Catenin Signaling in H295R Cells.	33287648	Cell proliferation and aldosterone secretion of H295 R cells in response to angiotensin Ⅱ (Agn Ⅱ) were analyzed.	Agn Ⅱ	angiotensin Ⅱ
CTNNB1 Knockdown Inhibits Cell Proliferation and Aldosterone Secretion Through Inhibiting Wnt/β-Catenin Signaling in H295R Cells.	33287648	CTNNB1 knockdown inhibited Wnt/β-catenin signaling pathway and downregulated expression of downstream genes including axin 2, lymphoid enhancer binding factor 1 (LEF1), and cyclin D1.	LEF1	lymphoid enhancer binding factor 1
A Workflow for the Performance of the Differential Ovarian Follicle Count Using Deep Neuronal Networks.	33287654	To facilitate the planned good laboratory practice (GLP) validation a workflow was set up using MLFlow to make all steps from generating of scans, training of the neural network, uploading of study images to the neural network, generation and storage of the results in a compliant manner controllable and reproducible.	GLP	good laboratory practice
The Potential Role of Intensity-Modulated Proton Therapy in Hepatic Carcinoma in Mitigating the Risk of Dose De-Escalation.	33287650	To investigate the role of intensity-modulated proton therapy (IMPT) for hepatocellular carcinoma (HCC) patients to be treated with stereotactic body radiation therapy (SBRT) in a risk-adapted dose prescription regimen.	IMPT	intensity-modulated proton therapy
The Potential Role of Intensity-Modulated Proton Therapy in Hepatic Carcinoma in Mitigating the Risk of Dose De-Escalation.	33287650	To investigate the role of intensity-modulated proton therapy (IMPT) for hepatocellular carcinoma (HCC) patients to be treated with stereotactic body radiation therapy (SBRT) in a risk-adapted dose prescription regimen.	HCC	hepatocellular carcinoma
The Potential Role of Intensity-Modulated Proton Therapy in Hepatic Carcinoma in Mitigating the Risk of Dose De-Escalation.	33287650	To investigate the role of intensity-modulated proton therapy (IMPT) for hepatocellular carcinoma (HCC) patients to be treated with stereotactic body radiation therapy (SBRT) in a risk-adapted dose prescription regimen.	SBRT	stereotactic body radiation therapy
Parent-Reported Outcome Questionnaire for Swallowing Dysfunction in Healthy Infants and Toddlers: Construction and Content Validation.	33287657	There is limited epidemiological information on swallowing dysfunction (SwD) in otherwise healthy infants and toddlers (OHITs).	SwD	swallowing dysfunction
Parent-Reported Outcome Questionnaire for Swallowing Dysfunction in Healthy Infants and Toddlers: Construction and Content Validation.	33287657	There is limited epidemiological information on swallowing dysfunction (SwD) in otherwise healthy infants and toddlers (OHITs).	OHITs	otherwise healthy infants and toddlers
Parent-Reported Outcome Questionnaire for Swallowing Dysfunction in Healthy Infants and Toddlers: Construction and Content Validation.	33287657	A parent-reported outcomes (PRO) tool has the potential to mitigate these disadvantages.	PRO	parent-reported outcomes
Corneal Dystrophy in Dutch Belted Rabbits as a Possible Model of Thiel-Behnke Subtype of Epithelial-Stromal TGFβ-Induced Corneal Dystrophy.	33287658	True corneal dystrophy occurs in mice with targeted mutations and spontaneously in pet dogs and cats and in Dutch belted (DB) rabbits, but these instances lack complete phenotyping or genotyping.	DB	Dutch belted
Corneal Dystrophy in Dutch Belted Rabbits as a Possible Model of Thiel-Behnke Subtype of Epithelial-Stromal TGFβ-Induced Corneal Dystrophy.	33287658	Slit lamp and optical coherence tomography (OCT) imaging were used to characterize corneal dystrophy over 4 months in young DB rabbits.	OCT	optical coherence tomography
The Impact of Experimentally Induced Limb Ischemia on the Rubber Hand Illusion.	33287660	The rubber hand illusion (RHI) is a perceptual illusion in which one experiences an object as part of their body when synchronous visuo-tactile stimulation is applied to one's hand and the object.	RHI	rubber hand illusion
Using Artificial Intelligence to Detect, Classify, and Objectively Score Severity of Rodent Cardiomyopathy.	33287662	Rodent progressive cardiomyopathy (PCM) encompasses a constellation of microscopic findings commonly seen as a spontaneous background change in rat and mouse hearts.	PCM	progressive cardiomyopathy
Trends in Use and Timing of Intratympanic Corticosteroid Injections for Sudden Sensorineural Hearing Loss.	33287664	Oral corticosteroids are treatment mainstays for idiopathic sudden sensorineural hearing loss (SSNHL).	SSNHL	sensorineural hearing loss
Trends in Use and Timing of Intratympanic Corticosteroid Injections for Sudden Sensorineural Hearing Loss.	33287664	Recent studies suggest that intratympanic (IT) steroid injections may be effective as an alternate or adjunctive therapy.	IT	intratympanic
Using Deep Learning Artificial Intelligence Algorithms to Verify N-Nitroso-N-Methylurea and Urethane Positive Control Proliferative Changes in Tg-RasH2 Mouse Carcinogenicity Studies.	33287665	We hypothesized that artificial intelligence-based deep learning (DL) could provide decision support for the toxicologic pathologist by screening for the proliferative changes, verifying the expected pattern for the positive control groups.	DL	deep learning
Using Deep Learning Artificial Intelligence Algorithms to Verify N-Nitroso-N-Methylurea and Urethane Positive Control Proliferative Changes in Tg-RasH2 Mouse Carcinogenicity Studies.	33287665	Whole slide images (WSIs) of the lungs, thymus, and stomach from positive control groups were used for supervised training of a convolutional neural network (CNN).	WSIs	Whole slide images
Using Deep Learning Artificial Intelligence Algorithms to Verify N-Nitroso-N-Methylurea and Urethane Positive Control Proliferative Changes in Tg-RasH2 Mouse Carcinogenicity Studies.	33287665	Whole slide images (WSIs) of the lungs, thymus, and stomach from positive control groups were used for supervised training of a convolutional neural network (CNN).	CNN	convolutional neural network
Prognostic and Predictive Value of Circulating and Disseminated Tumor Cells in Breast Cancer: A National Cancer Database (NCDB) Analysis.	33287661	Our understanding of the utility of circulating tumor cells (CTCs) and disseminated tumor cells (DTCs) as clinical biomarkers continues to evolve.	CTCs	circulating tumor cells
Prognostic and Predictive Value of Circulating and Disseminated Tumor Cells in Breast Cancer: A National Cancer Database (NCDB) Analysis.	33287661	Our understanding of the utility of circulating tumor cells (CTCs) and disseminated tumor cells (DTCs) as clinical biomarkers continues to evolve.	DTCs	disseminated tumor cells
Investigation of low temperature performances of hybrid catalysts with different chain length OHC reductants.	33287668	The properties of catalysts were characterized by scanning electron microscopy (SEM), Brunauer-Emmett-Teller (BET) and X-ray diffraction (XRD) analyzes.	SEM	scanning electron microscopy
Investigation of low temperature performances of hybrid catalysts with different chain length OHC reductants.	33287668	The properties of catalysts were characterized by scanning electron microscopy (SEM), Brunauer-Emmett-Teller (BET) and X-ray diffraction (XRD) analyzes.	BET	Brunauer-Emmett-Teller
Investigation of low temperature performances of hybrid catalysts with different chain length OHC reductants.	33287668	The properties of catalysts were characterized by scanning electron microscopy (SEM), Brunauer-Emmett-Teller (BET) and X-ray diffraction (XRD) analyzes.	XRD	X-ray diffraction
Correlation of L-asp Activity, Anti-L-asp Antibody, Asn and Gln With Adverse Events Especially Anaphylaxis Risks in PEG-asp-Contained Regime Treated Pediatric ALL Patients.	33287663	This study aimed to investigate the correlation of L-asparaginase (L-asp) activity, anti-L-asp antibody, asparagine and glutamine levels with the risks of adverse events (AEs), especially anaphylaxis, in pediatric acute lymphoblastic leukemia (ALL) patients who underwent polyethylene glycol-conjugated L-asp (PEG-asp)-contained treatment.	L-asp	L-asparaginase
Correlation of L-asp Activity, Anti-L-asp Antibody, Asn and Gln With Adverse Events Especially Anaphylaxis Risks in PEG-asp-Contained Regime Treated Pediatric ALL Patients.	33287663	This study aimed to investigate the correlation of L-asparaginase (L-asp) activity, anti-L-asp antibody, asparagine and glutamine levels with the risks of adverse events (AEs), especially anaphylaxis, in pediatric acute lymphoblastic leukemia (ALL) patients who underwent polyethylene glycol-conjugated L-asp (PEG-asp)-contained treatment.	AEs	adverse events
Correlation of L-asp Activity, Anti-L-asp Antibody, Asn and Gln With Adverse Events Especially Anaphylaxis Risks in PEG-asp-Contained Regime Treated Pediatric ALL Patients.	33287663	This study aimed to investigate the correlation of L-asparaginase (L-asp) activity, anti-L-asp antibody, asparagine and glutamine levels with the risks of adverse events (AEs), especially anaphylaxis, in pediatric acute lymphoblastic leukemia (ALL) patients who underwent polyethylene glycol-conjugated L-asp (PEG-asp)-contained treatment.	ALL	acute lymphoblastic leukemia
The Effect of Female Economic Empowerment Interventions on the Risk of Intimate Partner Violence: A Systematic Review and Meta-Analysis.	33287669	Not only is it an end in itself but it has further been promoted for its potential to create positive externalities, including the reduction of intimate partner violence (IPV).	IPV	intimate partner violence
Hidden healthcare populations: using intersectionality to theorise the experiences of LGBT+ people in Nigeria, Africa.	33287671	This article argues that theories of intersectionality can help us to understand these issues and develops the concept of 'hidden healthcare populations' - using the case of people who identify as Lesbian, Gay, Bisexual, Transgender Plus (LGBT+) in Nigeria, in sub-Saharan Africa.	LGBT+	Lesbian, Gay, Bisexual, Transgender Plus
Increased deep vein thrombosis cases during the COVID-19 quarantine.	33287673	The aim of this study was to compare the number of deep vein thrombosis (DVT) cases during the quarantine period for COVID-19 to that of the last year.	DVT	deep vein thrombosis
The lived experiences of work and health of people living with deaf-blindness due to Usher syndrome type 2.	33287675	Purpose: This study aimed to explore lived experiences with working life from the perspective of people with deafblindness due to Usher syndrome type 2 (USH2).	USH2	Usher syndrome type 2
Understanding the biological role of PqqB in Pseudomonas stutzeri using molecular dynamics simulation approach.	33287678	Pyrroloquinoline quinone (PQQ), a redox cofactor of methanol and glucose dehydrogenases has been well established as essential for phosphate solubilization.	PQQ	Pyrroloquinoline quinone
Correlation between upper airway dimension and TMJ position in patients with sleep disordered breathing.	33287679	Objective: The goal was to perform a 10-year retrospective study on the correlation between sleep disordered breathing (SDB) and upper airway dimensions, as well as the relation between SDB status and TMJ position.	SDB	sleep disordered breathing
MicroRNA Biomarkers in Canine Diffuse Large B-Cell Lymphoma.	33287683	Diffuse large B-cell lymphoma (DLBCL) is the predominant type, accounting for up to half of all cases.	DLBCL	Diffuse large B-cell lymphoma
MicroRNA Biomarkers in Canine Diffuse Large B-Cell Lymphoma.	33287683	Noncoding microRNAs (miRNAs) are regulators of gene expression involved in a variety of cellular processes, including cell differentiation, cell cycle progression, and apoptosis.	miRNAs	microRNAs
Effects of brief acceptance and commitment therapy (ACT) on subjective cognitive impairment in breast cancer patients undergoing chemotherapy.	33287685	This study examined the efficacy of a brief acceptance and commitment therapy (ACT) on subjective cognitive impairment in breast cancer patients undergoing chemotherapy.	ACT	and commitment therapy
Effects of photobiomodulation on auriculotherapy points for sleep disorders, anxiety, and temporomandibular dysfunctions.	33287687	Objective: The purpose of this study was to evaluatephotobiomodulation applied at auriculotherapy points forsleep disorder (SD) and anxiety related to temporomandibulardysfunction (TMD).	TMD	temporomandibulardysfunction
Noise exposure assessment of occupational health and safety (OHS) consultants: A preliminary study.	33287688	No published noise exposure assessment of occupational health and safety (OHS) consultants exists.	OHS	occupational health and safety
Noise exposure assessment of occupational health and safety (OHS) consultants: A preliminary study.	33287688	Both the projected time-weighted average (TWA) and projected dose were recorded.	TWA	time-weighted average
Associations of menopausal age with virological outcomes and engagement in care among women living with HIV in the UK.	33287689	Objective: To investigate whether menopausal age is associated with engagement-in-care (EIC), viral load (VL) suppression and rebound among women living with HIV.	EIC	engagement-in-care
Associations of menopausal age with virological outcomes and engagement in care among women living with HIV in the UK.	33287689	Objective: To investigate whether menopausal age is associated with engagement-in-care (EIC), viral load (VL) suppression and rebound among women living with HIV.	VL	viral load
Associations of menopausal age with virological outcomes and engagement in care among women living with HIV in the UK.	33287689	[interquartile range: 29-42], 64.4% black African, 19.1% white) contributed 44,226 person-years (PYRS) of follow-up; 29,846, 10,980 and 3,399 PYRS in those aged <40, 40-50 and >50, respectively.	PYRS	person-years
The ritual use of ayahuasca during treatment of severe physical illnesses: a qualitative study.	33287690	The aim of this study was to explore how the ritual use of ayahuasca during the treatment of severe physical illnesses (SPI) may influence the way people understand and relate to their illness, using qualitative methods to assess the participants' perspectives.	SPI	severe physical illnesses
Non-visible disease, the hidden disruptive experiences of chronic illness in adversity.	33287691	This study's principal aim was to describe the lived reality for people with cardiovascular disease (CVD) and other chronic health conditions, who live in economically deprived neighbourhoods in a city in North West England.	CVD	cardiovascular disease
Regulation of the Fasciola hepatica newly excysted juvenile cathepsin L3 (FhCL3) by its propeptide: a proposed 'clamp-like' mechanism of binding and inhibition.	33287692	Little is known, however, about the mechanism by which the propeptide of FhCL3, a cathepsin L peptidase secreted by the infective newly excysted juveniles (NEJs), regulates the inhibition and activation of the mature enzyme before it is secreted into host tissues.	NEJs	newly excysted juveniles
multiGSEA: a GSEA-based pathway enrichment analysis for multi-omics data.	33287694	Among those, the gene set enrichment analysis (GSEA) proved to control both type I and II errors well.	GSEA	gene set enrichment analysis
Molecular signature comprising 11 platelet-genes enables accurate blood-based diagnosis of NSCLC.	33287695	Tumor Educated Platelets (TEPs) have, of late, generated considerable interest due to their ability to infer tumor existence and subtype accurately.	TEPs	Tumor Educated Platelets
Households with unimproved water sources in Ethiopia: spatial variation and point-of-use treatment based on 2016 Demographic and Health Survey.	33287699	Therefore, the current study is intended to analyze the spatial distribution of unimproved water sources by wealth quintiles at country level and point-of-use treatment (POU) practices using nationally representative data.	POU	point-of-use treatment
New insights into the evolution and functional divergence of the CIPK gene family in Saccharum.	33287700	Calcineurin B-like protein (CBL)-interacting protein kinases (CIPKs) are the primary components of calcium sensors, and play crucial roles in plant developmental processes, hormone signaling transduction, and in the response to exogenous stresses.	CIPKs	CBL)-interacting protein kinases
Genome-wide characterization, expression analyses, and functional prediction of the NPF family in Brassica napus.	33287703	NITRATE TRANSPORTER 1/PEPTIDE TRANSPORTER (NRT1/PTR) family (NPF) members are essential transporters for many substrates in plants, including nitrate, hormones, peptides, and secondary metabolites.	NRT1/PTR	NITRATE TRANSPORTER 1/PEPTIDE TRANSPORTER
Genome-wide characterization, expression analyses, and functional prediction of the NPF family in Brassica napus.	33287703	NITRATE TRANSPORTER 1/PEPTIDE TRANSPORTER (NRT1/PTR) family (NPF) members are essential transporters for many substrates in plants, including nitrate, hormones, peptides, and secondary metabolites.	NPF	NRT1/PTR) family
Concurrent brain structural and functional alterations in patients with migraine without aura: an fMRI study.	33287704	To explore the possible concurrent brain functional and structural alterations in patients with migraine without aura (MwoA) patients compared to healthy subjects (HS).	MwoA	migraine without aura
Concurrent brain structural and functional alterations in patients with migraine without aura: an fMRI study.	33287704	To explore the possible concurrent brain functional and structural alterations in patients with migraine without aura (MwoA) patients compared to healthy subjects (HS).	HS	healthy subjects
Acute decompensated heart failure in a non cardiology tertiary referral centre, Sarawak General Hospital (SGH-HF).	33287705	Data on clinical characteristics of acute decompensated heart failure (ADHF) in Malaysia especially in East Malaysia is lacking.	ADHF	acute decompensated heart failure
Transcriptome profiles of sturgeon lateral line electroreceptor and mechanoreceptor during regeneration.	33287707	The electrosensory ampullary organs (AOs) and mechanosensory neuromasts (NMs) found in sturgeon and some other non-neopterygian fish or amphibians are both originated from lateral line placodes.	AOs	ampullary organs
Transcriptome profiles of sturgeon lateral line electroreceptor and mechanoreceptor during regeneration.	33287707	The electrosensory ampullary organs (AOs) and mechanosensory neuromasts (NMs) found in sturgeon and some other non-neopterygian fish or amphibians are both originated from lateral line placodes.	NMs	neuromasts
Continuous EEG monitoring by a new simplified wireless headset in intensive care unit.	33287711	In critically ill patients continuous EEG (cEEG) is recommended in several conditions.	cEEG	continuous EEG
Slow radiological improvement and persistent low-grade inflammation after chemotherapy in tuberculosis patients with type 2 diabetes.	33287713	Diabetes mellitus type 2 (DM) may impede immune responses in tuberculosis (TB) and thus contribute to enhanced disease severity.	DM	Diabetes mellitus type 2
Slow radiological improvement and persistent low-grade inflammation after chemotherapy in tuberculosis patients with type 2 diabetes.	33287713	Diabetes mellitus type 2 (DM) may impede immune responses in tuberculosis (TB) and thus contribute to enhanced disease severity.	TB	tuberculosis
